"(6, 28, 54)",366549398267269/411782264189298
"(5, 29, 53)",433/486
"(6, 29, 53)",2132324/2391483
"(5, 29, 54)",3393862677305/3812798742492
"(6, 29, 54)",10194187352536/11433166050879
"(5, 29, 55)",5565062489536079/6253943137352820
"(6, 29, 55)",1150269873232385740265411422439878711491442284860362459614352660075146855263471749/1290070078170102666248196035845070394933477659190540771869482249564677643783580893
"(5, 29, 56)",8/9
"(6, 29, 56)",61193325936518/68630377364883
"(5, 29, 57)",167557207177/188286357654
"(6, 29, 57)",17780652787256707258229/19941573245559303216060
"(5, 29, 58)",0.890214848916537134
"(6, 29, 58)",0.8916475733678537309
"(5, 30, 59)",328709112581716801823/369289088318854212057
"(6, 30, 59)",36448048045257710656140979357/40877188336815624545012578980
"(5, 30, 60)",8/9
"(6, 30, 60)",78977/88572
"(5, 30, 61)",0.890147583310276308
"(6, 30, 61)",0.89164868098590360497
"(5, 31, 64)",8/9
"(6, 31, 64)",10200408935563/11438396227480
"(5, 38, 92)",74/81
"(6, 38, 92)",12145513422420141075248/13294407179478751643889
"(5, 39, 96)",74/81
"(6, 39, 96)",617056933634143721/675425843145966240
"(5, 40, 100)",74/81
"(6, 40, 100)",68562980913860018/75047317067368827
"(5, 81, 93)",26/27
"(6, 81, 93)",100625510032030616570723087421432671754331577765985233696089729319942669310828182085/104495676331778315966103878903450701989609104331154369125153724022893118264295225157
"(5, 85, 100)",26/27
"(6, 85, 100)",599010719910662333560775573211614382117480986573546752327/622042026893456957450716094830247898367184909671672660431
"(5, 91, 97)",26/27
"(6, 91, 97)",33044642657401/34315187885280
"(6, 2, 14)",2/9
"(7, 2, 14)",39536/177147
"(6, 8, 14)",2/3
"(7, 8, 14)",39422/59049
"(6, 9, 18)",2/3
"(7, 9, 18)",1603187/2391483
"(6, 9, 19)",534360/797161
"(7, 9, 19)",1815764/2690415
"(6, 10, 13)",2/3
"(7, 10, 13)",241/360
"(6, 10, 22)",2/3
"(7, 10, 22)",2953/4374
"(6, 13, 34)",20/27
"(7, 13, 34)",2429/3279
"(6, 14, 38)",20/27
"(7, 14, 38)",37075683221639378/50031545098999707
"(6, 15, 42)",20/27
"(7, 15, 42)",1885192488110/2541865828329
"(6, 16, 46)",20/27
"(7, 16, 46)",7095065/9565938
"(6, 20, 62)",62/81
"(7, 20, 62)",4255146973072898/5559060566555523
"(6, 29, 44)",8/9
"(7, 29, 44)",2259525615410/2541865828329
"(6, 30, 48)",8/9
"(7, 30, 48)",52496/59049
"(6, 31, 51)",30914183447113657356709075725950/34766041411744563527153260730199
