Initial state,P(Loser = Player 1)
"(1, 6, 14)",330573/368089
"(1, 6, 15)",327/364
"(1, 6, 16)",437/486
"(1, 6, 17)",1667654633058951/1853020231898563
"(1, 6, 18)",9/10
"(1, 6, 19)",6458213/7174452
"(1, 6, 20)",739564965742657568063457/821581841487258106759759
"(1, 6, 21)",983/1092
"(1, 6, 22)",8611289/9565938
"(1, 6, 23)",185346623913735/205891146443557
"(1, 6, 24)",984/1093
"(1, 6, 25)",1313/1458
"(1, 6, 26)",15022434135372771/16677181828806733
"(1, 6, 27)",718065/797161
"(1, 6, 28)",89758/99645
"(1, 6, 29)",202802860424043021/225141952945498681
"(1, 6, 30)",1970/2187
"(1, 6, 31)",6137/6813
"(1, 6, 32)",873553877244857079714964228885754107938453/969773729787523602877806713066264426793043
"(1, 6, 33)",92731423888589/102945566047320
"(1, 6, 34)",2253367660363649/2501577254949876
"(1, 6, 35)",27837017652656413162641057909969/30903154382632617920981208359053
"(1, 6, 36)",1077111/1195742
"(1, 6, 37)",25850677/28697814
"(1, 6, 38)",523476192/581130733
"(1, 6, 39)",4711284797/5230175508
"(1, 6, 40)",92732248732841/102945563655840
"(1, 6, 41)",1669180385285877/1853020231898563
"(1, 6, 42)",4308446/4782969
"(1, 6, 43)",8861/9837
"(1, 6, 44)",250532921326130953975051902362235/278128389443693527934467475898331
"(1, 6, 45)",1970/2187
"(1, 6, 46)",2093887589/2324522934
"(1, 6, 47)",10951488909527737287/12157665462543713203
"(1, 6, 48)",834591032606357/926510094424827
"(1, 6, 49)",319145/354294
"(1, 7, 1)",1/2
"(1, 7, 2)",89/120
"(1, 7, 3)",41/54
"(1, 7, 4)",5/6
"(1, 7, 5)",1297/1458
"(1, 7, 6)",81/91
"(1, 7, 7)",8/9
"(1, 7, 8)",79001/88572
"(1, 7, 9)",977/1089
"(1, 7, 10)",35/39
"(1, 7, 11)",8837/9840
"(1, 7, 12)",437/486
"(1, 7, 13)",49/54
"(1, 7, 14)",1310891/1434888
"(1, 7, 15)",107893/118098
"(1, 7, 16)",74/81
"(1, 7, 17)",26962/29511
"(1, 7, 18)",2184903/2391484
"(1, 7, 19)",2075/2271
"(1, 7, 20)",11801921/12913992
"(1, 7, 21)",323785/354294
"(1, 7, 22)",329/360
"(1, 7, 23)",3997/4374
"(1, 7, 24)",242787/265720
"(1, 7, 25)",74/81
"(1, 7, 26)",2185136/2391483
"(1, 7, 27)",5377316986/5883937605
"(1, 7, 28)",162569/177879
"(1, 7, 29)",6373758241/6973568802
"(1, 7, 30)",56045/61317
"(1, 7, 31)",1333/1458
"(1, 7, 32)",6461165052163108718129788099/7065193045869367252382405520
"(1, 7, 33)",1046074082691/1143839622748
"(1, 7, 34)",107/117
"(1, 7, 35)",27971747/30585828
"(1, 7, 36)",1549854145913/1694577218886
"(1, 7, 37)",118129133/129159849
"(1, 7, 38)",31384551786821/34315188682440
"(1, 7, 39)",1162391113801/1270932884640
"(1, 7, 40)",2187209/2391444
"(1, 7, 41)",11439688665433607/12507886274749920
"(1, 7, 42)",177086407/193621671
"(1, 7, 43)",332/363
"(1, 7, 44)",847387385717848/926510029855839
"(1, 7, 45)",108013/118098
"(1, 7, 46)",2999/3279
"(1, 7, 47)",59056397/64570080
"(1, 7, 48)",36005/39366
"(1, 7, 49)",4001/4374
"(1, 7, 50)",29811453859/32587962120
"(1, 8, 1)",1/2
"(1, 8, 2)",20/27
"(1, 8, 3)",45387/59293
"(1, 8, 4)",5/6
"(1, 8, 5)",8/9
"(1, 8, 6)",38401365/43053283
"(1, 8, 7)",79001/88572
"(1, 8, 8)",8/9
"(1, 8, 9)",108/121
"(1, 8, 10)",8831/9840
"(1, 8, 11)",656/729
"(1, 8, 12)",9/10
"(1, 8, 13)",49/54
"(1, 8, 14)",1456712/1594323
"(1, 8, 15)",486237/532171
"(1, 8, 16)",499/546
"(1, 8, 17)",2000/2187
"(1, 8, 18)",750869638072679326437369/821581841487258106759759
"(1, 8, 19)",437113/478296
"(1, 8, 20)",74/81
"(1, 8, 21)",54189/59293
"(1, 8, 22)",1333/1458
"(1, 8, 23)",4374170/4782969
"(1, 8, 24)",258310574373/282430067923
"(1, 8, 25)",2916973/3188646
"(1, 8, 26)",290267096213/317297380491
"(1, 8, 27)",354469527/387440173
"(1, 8, 28)",445/486
"(1, 8, 29)",668/729
"(1, 8, 30)",888659534435709510455235709752762532359615/969773729787523602877806713066264426793043
"(1, 8, 31)",2158027988468988920176598273/2355064348623122417460801840
"(1, 8, 32)",80831/88209
"(1, 8, 33)",137542054935127683/150094635684419611
"(1, 8, 34)",12025/13122
"(1, 8, 35)",18038/19683
"(1, 8, 36)",2191617/2391484
"(1, 8, 37)",6390755501/6973568802
"(1, 8, 38)",2191151/2391120
"(1, 8, 39)",10971157585843074641194842298624753996311/11972515182562019788712159015848559464891
"(1, 8, 40)",2921941/3188646
"(1, 8, 41)",668/729
"(1, 8, 42)",254865413202740909602189350203937/278128389443693527934467475898331
"(1, 8, 43)",206313109433546471/225141937254968877
"(1, 8, 44)",1461080/1594323
"(1, 8, 45)",81171/88573
"(1, 8, 46)",493431238586343488294197/538423490768889441577686
"(1, 8, 47)",1698183338499146/1853020188851841
"(1, 8, 48)",3146831806444613179184731274055/3433683820292514337678037941123
"(1, 8, 49)",81137/88533
"(1, 8, 50)",162350/177147
"(1, 9, 1)",1/2
"(1, 9, 2)",43983/59293
"(1, 9, 3)",62/81
"(1, 9, 4)",5/6
"(1, 9, 5)",81/91
"(1, 9, 6)",108/121
"(1, 9, 7)",977/1089
"(1, 9, 8)",108/121
"(1, 9, 9)",8/9
"(1, 9, 10)",145/162
"(1, 9, 11)",3131780193/3486843451
"(1, 9, 12)",9/10
"(1, 9, 13)",49/54
"(1, 9, 14)",1693513402041915/1853020231898563
"(1, 9, 15)",999/1093
"(1, 9, 16)",1333/1458
"(1, 9, 17)",39385629/43053283
"(1, 9, 18)",333/364
"(1, 9, 19)",12005/13122
"(1, 9, 20)",28708972803/31381236757
"(1, 9, 21)",333/364
"(1, 9, 22)",972341/1062882
"(1, 9, 23)",15253484744242611/16677181828806733
"(1, 9, 24)",74/81
"(1, 9, 25)",445/486
"(1, 9, 26)",206374938718312260/225141952945498681
"(1, 9, 27)",4384718/4782969
"(1, 9, 28)",1337/1458
"(1, 9, 29)",4389309/4785157
"(1, 9, 30)",22946647086393629/25015772549498760
"(1, 9, 31)",3147882349787/3431518868244
"(1, 9, 32)",137689511015951775/150094635684419611
"(1, 9, 33)",111/121
"(1, 9, 34)",125919433185457/137260754729766
"(1, 9, 35)",731295/797161
"(1, 9, 36)",13163474/14348907
"(1, 9, 37)",4013/4374
"(1, 9, 38)",10985313412102952288771822594070066164553/11972515182562019788712159015848559464891
"(1, 9, 39)",28793530298/31381059609
"(1, 9, 40)",731429/797157
"(1, 9, 41)",1700233170599079/1853020231898563
"(1, 9, 42)",6020/6561
"(1, 9, 43)",975245/1062882
"(1, 9, 44)",1355371449972345416034/1477156353275416849321
"(1, 9, 45)",731439/797161
"(1, 9, 46)",1554868832257/1694577218886
"(1, 9, 48)",731439/797161
"(1, 9, 49)",975253/1062882
"(1, 9, 50)",95880598836300284391027887404234117418923853471196331839301042650330975674547189141/104495676331778315966103878903450701989609104331154369125153724022893118264295225157
"(1, 10, 1)",1/2
"(1, 10, 2)",361/486
