Initial state,P(Loser = Player 1)
"(1, 7, 14)",1032505700147664294586408365356180685848127917/1613538037425217191548094639872658687481166047
"(1, 7, 15)",1618212812346887077299345942693013714210661/2524135190967042988016088574578114889069926
"(1, 7, 16)",5625435842827694111247091565125626626361497703142090936/8783247035140904842219746460037824870603096741085644987
"(1, 7, 17)",97671926599046150213009908409038235035708552338631/152406269486935462759201661438781037925291913876570
"(1, 7, 19)",21190670622696171098254202932527523626816853168151290619/33140322563104141717723555603947549589162774661067644511
"(1, 8, 1)",23935027/48690978
"(1, 8, 2)",4052550/7036351
"(1, 8, 3)",1400282283425/2351413678929
"(1, 8, 4)",130877374629/213378126031
"(1, 8, 5)",28156702724520343/45890512179639082
"(1, 8, 6)",21248667640539/34675064776757
"(1, 8, 7)",28684931230594515891499/48772814381427153039435
"(1, 8, 8)",1360397809099802318197/2626941360963688147249
"(1, 8, 9)",1620081005234468130867622409/2737547722959924224019085871
"(1, 8, 10)",1777557546617529368751569553/2856388343613233576872397036
"(1, 8, 11)",422131361925067975033171969473812147/671368065029366544414613835604599274
"(1, 8, 12)",67199971402780069982445265727297/105615618000709461364843182788871
"(1, 8, 13)",20991231803443489510911569019486795791348036/32929347702555452888736625303523646683289103
"(1, 8, 14)",179683043333207298403195541130606644425477/280459465663004776446232063842012765452214
"(1, 8, 15)",5642097539764414278857248566034973430545916468370018096/8783247035140904842219746460037824870603096741085644987
"(1, 8, 16)",5456276367602659736449592634047878856589783661459/8467014971496414597733425635487835440293995215365
"(1, 8, 18)",7125529734479919017819486256836386158839491213420791596/11046774187701380572574518534649183196387591553689214837
"(1, 9, 1)",10427014/21109053
"(1, 9, 2)",9520691348078/16459895752503
"(1, 9, 3)",124828754503/213378126031
"(1, 9, 4)",9947088885861389/16196651357519676
"(1, 9, 5)",258287600248547/416100777321084
"(1, 9, 6)",30222426431864891283841/48772814381427153039435
"(1, 9, 7)",3248386035697457999137/5253882721927376294498
"(1, 9, 8)",1620081005234468130867622409/2737547722959924224019085871
"(1, 9, 9)",6683405270647674267097548005/12853747546259551095925786662
"(1, 9, 10)",3714777279572669611218001904679583184203/6259835838333813660121859403177283630776
"(1, 9, 11)",395519378198269195193661812450917/633693708004256768189059096733226
"(1, 9, 12)",3053967489819544663554481014161039137908514361/4840614112275651574644283919617976062443498141
"(1, 9, 13)",3221217304852512041862579504549291336685265/5048270381934085976032177149156229778139852
"(1, 9, 14)",16869612132351245764389710828542961113806893134619650453/26349741105422714526659239380113474611809290223256934961
"(1, 9, 15)",38990732568421895692161915977975011558751378543233/60962507794774185103680664575512415170116765550628
"(1, 9, 17)",21408754304892051953064201414517204197121424989053563422/33140322563104141717723555603947549589162774661067644511
"(1, 10, 1)",55410683846/111972079949
"(1, 10, 2)",124031295624/213378126031
"(1, 10, 3)",329163154048825171/550686146155668984
"(1, 10, 4)",21393083726023/34675064776757
"(1, 10, 5)",3377957002474178998319/5419201597936350337715
"(1, 10, 6)",1640810152833367160839/2626941360963688147249
"(1, 10, 7)",1711985599662214870212691772/2737547722959924224019085871
"(1, 10, 8)",1777557546617529368751569553/2856388343613233576872397036
"(1, 10, 9)",3714777279572669611218001904679583184203/6259835838333813660121859403177283630776
"(1, 10, 10)",55080155244906283771821644159795/105615618000709461364843182788871
"(1, 10, 12)",29238935995874031717646436236396990144198/46743244277167462741038677307002127575369
"(1, 10, 14)",23651920737811830169810588279249289348385272262/36973864504351155448617579194270023756742337185
"(1, 10, 16)",7112981433917050881187677828753096872942017609571898831/11046774187701380572574518534649183196387591553689214837
"(1, 11, 1)",1269627484415/2560537512372
"(1, 11, 2)",373892245050675355/642467170514947148
"(1, 11, 3)",13257721081061/21900040911636
"(1, 11, 4)",9978117957947845801528/16257604793809051013145
"(1, 11, 5)",1643901316946507937247/2626941360963688147249
"(1, 11, 6)",3944934107888427362972069/6264411265354517675100883
"(1, 11, 7)",774663398314886718231258991/1224166432977100104373884444
"(1, 11, 8)",422131361925067975033171969473812147/671368065029366544414613835604599274
"(1, 11, 9)",395519378198269195193661812450917/633693708004256768189059096733226
"(1, 11, 10)",1920601323451746822269695239527618657607362939/3227076074850434383096189279745317374962332094
"(1, 11, 11)",1319463379772529483438027907830491196148795/2524135190967042988016088574578114889069926
"(1, 11, 12)",5237613008510648333021188242801351352529118522850569052/8783247035140904842219746460037824870603096741085644987
"(1, 11, 13)",191061895623990811376888595852285173844487151496749/304812538973870925518403322877562075850583827753140
"(1, 11, 15)",21246092250530846826865083009782845302770442061101219311/33140322563104141717723555603947549589162774661067644511
"(1, 12, 1)",273248782365117911/550686146155668984
"(1, 12, 2)",40421276890441/69350129553514
"(1, 12, 3)",9872691261440390046074/16257604793809051013145
"(1, 12, 4)",1587632244934798889985/2626941360963688147249
"(1, 12, 5)",10271062765932195745452226529/16425286337759545344114515226
"(1, 12, 6)",904394252506309712871345465/1428194171806616788436198518
"(1, 12, 7)",3966980956662554030252875664848298613847/6259835838333813660121859403177283630776
"(1, 12, 8)",67199971402780069982445265727297/105615618000709461364843182788871
