Initial state,P(Loser = Player 1)
"(5, 1, 5)",1/18
"(5, 1, 6)",4887/59293
"(5, 1, 7)",62/729
"(5, 1, 8)",5/54
"(5, 1, 9)",9/91
"(5, 1, 10)",12/121
"(5, 2, 1)",1/54
"(5, 2, 2)",0
"(5, 2, 3)",3/40
"(5, 2, 4)",5/54
"(5, 2, 5)",1/6
"(5, 2, 6)",325/1458
"(5, 2, 7)",61/273
"(5, 2, 8)",2/9
"(5, 2, 9)",6651/29524
"(5, 2, 10)",251/1089
"(5, 3, 1)",21/757
"(5, 3, 2)",3/40
"(5, 3, 3)",0
"(5, 3, 4)",5043/59293
"(5, 3, 5)",1/6
"(5, 3, 6)",3/13
"(5, 3, 7)",10630947/43053283
"(5, 3, 8)",7299/29524
"(5, 3, 9)",30/121
"(5, 3, 10)",273/1093
"(5, 4, 1)",0
"(5, 4, 2)",5/54
"(5, 4, 3)",5043/59293
"(5, 4, 4)",0
"(5, 4, 5)",1/6
"(5, 4, 6)",10674189/43053283
"(5, 4, 7)",278/1089
"(5, 4, 8)",5/18
"(5, 4, 9)",36/121
"(5, 4, 10)",8/27
"(5, 5, 1)",1/18
"(5, 5, 2)",1/6
"(5, 5, 3)",1/6
"(5, 5, 4)",1/6
"(5, 5, 5)",1/3
"(5, 5, 6)",1/2
"(5, 5, 7)",1/2
"(5, 5, 8)",1/2
"(5, 5, 9)",1/2
"(5, 5, 10)",1/2
"(5, 6, 1)",4887/59293
"(5, 6, 2)",325/1458
"(5, 6, 3)",3/13
"(5, 6, 4)",10674189/43053283
"(5, 6, 5)",1/2
"(5, 6, 6)",2/3
"(5, 6, 7)",729/1093
"(5, 6, 8)",973/1458
"(5, 6, 9)",2/3
"(5, 6, 10)",2328107265/3486843451
"(5, 7, 1)",62/729
"(5, 7, 2)",61/273
"(5, 7, 3)",10630947/43053283
"(5, 7, 4)",278/1089
"(5, 7, 5)",1/2
"(5, 7, 6)",729/1093
"(5, 7, 7)",2/3
"(5, 7, 8)",973/1458
"(5, 7, 9)",2334142989/3486843451
"(5, 7, 10)",6583/9828
"(5, 8, 1)",5/54
"(5, 8, 2)",2/9
"(5, 8, 3)",7299/29524
"(5, 8, 4)",5/18
"(5, 8, 5)",1/2
"(5, 8, 6)",973/1458
"(5, 8, 7)",973/1458
"(5, 8, 8)",2/3
"(5, 8, 9)",549/820
"(5, 8, 10)",325/486
"(5, 9, 1)",9/91
"(5, 9, 2)",6651/29524
"(5, 9, 3)",30/121
"(5, 9, 4)",36/121
"(5, 9, 5)",1/2
"(5, 9, 6)",2/3
"(5, 9, 7)",2334142989/3486843451
"(5, 9, 8)",549/820
"(5, 9, 9)",2/3
"(5, 9, 10)",1250598370661559/1853020231898563
"(5, 10, 1)",12/121
"(5, 10, 2)",251/1089
"(5, 10, 3)",273/1093
"(5, 10, 4)",8/27
"(5, 10, 5)",1/2
"(5, 10, 6)",2328107265/3486843451
"(5, 10, 7)",6583/9828
"(5, 10, 8)",325/486
"(5, 10, 9)",1250598370661559/1853020231898563
"(5, 10, 10)",2/3
"(6, 1, 1)",0
"(6, 1, 2)",7/757
"(6, 1, 3)",1/40
"(6, 1, 4)",0
"(6, 1, 5)",1681/59293
"(6, 1, 6)",1/18
"(6, 1, 7)",1/13
"(6, 1, 8)",3543649/43053283
"(6, 1, 9)",2433/29524
"(6, 1, 10)",10/121
"(6, 2, 1)",7/757
"(6, 2, 2)",0
"(6, 2, 3)",1/18
"(6, 2, 4)",1/13
"(6, 2, 5)",62/729
"(6, 2, 6)",1/6
"(6, 2, 7)",9571957/43053283
"(6, 2, 8)",2/9
"(6, 2, 9)",27/121
"(6, 2, 10)",169/757
"(6, 3, 1)",1/40
"(6, 3, 2)",1/18
"(6, 3, 3)",0
"(6, 3, 4)",37/486
"(6, 3, 5)",9/91
"(6, 3, 6)",1/6
"(6, 3, 7)",6643/29524
"(6, 3, 8)",82/363
"(6, 3, 9)",3/13
"(6, 3, 10)",757/3280
"(6, 4, 1)",0
"(6, 4, 2)",1/13
"(6, 4, 3)",37/486
"(6, 4, 4)",0
"(6, 4, 5)",3663223/43053283
"(6, 4, 6)",1/6
"(6, 4, 7)",28/121
"(6, 4, 8)",187/757
"(6, 4, 9)",813/3280
"(6, 4, 10)",1/4
"(6, 5, 1)",1681/59293
"(6, 5, 2)",62/729
"(6, 5, 3)",9/91
"(6, 5, 4)",3663223/43053283
"(6, 5, 5)",0
"(6, 5, 6)",1/6
"(6, 5, 7)",271/1093
"(6, 5, 8)",62/243
"(6, 5, 9)",5/18
"(6, 5, 10)",1042744327/3486843451
"(6, 6, 1)",1/18
"(6, 6, 2)",1/6
"(6, 6, 3)",1/6
"(6, 6, 4)",1/6
"(6, 6, 5)",1/6
"(6, 6, 6)",1/3
"(6, 6, 7)",1/2
"(6, 6, 8)",1/2
"(6, 6, 9)",1/2
"(6, 6, 10)",1/2
"(6, 7, 1)",1/13
"(6, 7, 2)",9571957/43053283
"(6, 7, 3)",6643/29524
"(6, 7, 4)",28/121
"(6, 7, 5)",271/1093
"(6, 7, 6)",1/2
"(6, 7, 7)",2/3
"(6, 7, 8)",245407/368089
"(6, 7, 9)",35435/53144
"(6, 7, 10)",2/3
"(6, 8, 1)",3543649/43053283
"(6, 8, 2)",2/9
"(6, 8, 3)",82/363
"(6, 8, 4)",187/757
"(6, 8, 5)",62/243
"(6, 8, 6)",1/2
"(6, 8, 7)",245407/368089
"(6, 8, 8)",2/3
