Initial state,P(Loser = Player 1)
"(3, 9, 4)",555822929264170628721/1083840319587270067543
"(3, 9, 5)",211379696078630981067/404144824763644330346
"(3, 9, 6)",113/217
"(3, 9, 7)",26855375243446709843342507471/51414990185038204383703146648
"(3, 9, 8)",90062532563137774526873045085882271805/173884328842605935003384983421591211966
"(3, 9, 9)",307/654
"(3, 9, 10)",862371914081543984562373560049109506461964930/1613538037425217191548094639872658687481166047
"(3, 10, 1)",196337213119052089/550686146155668984
"(3, 10, 2)",27721800438851/69350129553514
"(3, 10, 3)",1518180767562712624297/3251520958761810202629
"(3, 10, 4)",1360732293257860294481/2626941360963688147249
"(3, 10, 5)",206430886516068379914456555/391078246137132032002726553
"(3, 10, 6)",661673469517295575544493925/1224166432977100104373884444
"(3, 10, 7)",554365276649967472622132237691687870023/1043305973055635610020309900529547271796
"(3, 10, 8)",55590782303536883809944696371926/105615618000709461364843182788871
"(3, 10, 9)",862371914081543984562373560049109506461964930/1613538037425217191548094639872658687481166047
"(3, 10, 10)",22355501050008500989937450914345700431563/46743244277167462741038677307002127575369
"(4, 1, 1)",5/93
"(4, 1, 2)",23/218
"(4, 1, 3)",2396/15365
"(4, 1, 4)",3820/15019
"(4, 1, 5)",13363751/48690978
"(4, 1, 6)",284010/1005193
"(4, 1, 7)",229637006363/783804559643
"(4, 1, 8)",128439585885/426756252062
"(4, 1, 9)",42255760205609609/137671536538917246
"(4, 1, 10)",10791231472757/34675064776757
"(4, 2, 1)",23/218
"(4, 2, 2)",1/7
"(4, 2, 3)",3206/15019
"(4, 2, 4)",2/7
"(4, 2, 5)",2171411/7036351
"(4, 2, 6)",69/217
"(4, 2, 7)",144904300375/426756252062
"(4, 2, 8)",75/218
"(4, 2, 9)",12130268114700/34675064776757
"(4, 2, 10)",38368/107555
"(4, 3, 1)",2396/15365
"(4, 3, 2)",3206/15019
"(4, 3, 3)",1590310/8115163
"(4, 3, 4)",18547/59129
"(4, 3, 5)",256821221596/783804559643
"(4, 3, 6)",136757774089/426756252062
"(4, 3, 7)",24005332840036162/68835768269458623
"(4, 3, 8)",12568384688085/34675064776757
"(4, 3, 9)",1964277723776410836308/5419201597936350337715
"(4, 3, 10)",988352868363177899509/2626941360963688147249
"(4, 4, 1)",3820/15019
"(4, 4, 2)",2/7
"(4, 4, 3)",18547/59129
"(4, 4, 4)",1/3
"(4, 4, 5)",84876167244/213378126031
"(4, 4, 6)",89/218
"(4, 4, 7)",28873699490881/69350129553514
"(4, 4, 8)",3/7
"(4, 4, 9)",1171297501501639393001/2626941360963688147249
"(4, 4, 10)",6727/15019
"(4, 5, 1)",13363751/48690978
"(4, 5, 2)",2171411/7036351
"(4, 5, 3)",256821221596/783804559643
"(4, 5, 4)",84876167244/213378126031
"(4, 5, 5)",8442844064536220/22945256089819541
"(4, 5, 6)",14783991480170/34675064776757
"(4, 5, 7)",2419219694001776396926/5419201597936350337715
"(4, 5, 8)",1235629950472136738863/2626941360963688147249
"(4, 5, 9)",1314098484097014146189074599/2737547722959924224019085871
"(4, 5, 10)",1066609397425461720748840283/2142291257709925182654297777
"(4, 6, 1)",284010/1005193
"(4, 6, 2)",69/217
"(4, 6, 3)",136757774089/426756252062
"(4, 6, 4)",89/218
"(4, 6, 5)",14783991480170/34675064776757
"(4, 6, 6)",17761/46095
"(4, 6, 7)",1183085808668073130719/2626941360963688147249
"(4, 6, 8)",7118/15019
"(4, 6, 9)",98294768718228193809139625/204027738829516684062314074
"(4, 6, 10)",3388439/6955854
"(4, 7, 1)",229637006363/783804559643
"(4, 7, 2)",144904300375/426756252062
"(4, 7, 3)",24005332840036162/68835768269458623
"(4, 7, 4)",28873699490881/69350129553514
"(4, 7, 5)",2419219694001776396926/5419201597936350337715
"(4, 7, 6)",1183085808668073130719/2626941360963688147249
"(4, 7, 7)",1101945406994966738202493666/2737547722959924224019085871
"(4, 7, 8)",1355220813024395787541905921/2856388343613233576872397036
"(4, 7, 9)",251951921381823376261127844984357967225/521652986527817805010154950264773635898
"(4, 7, 10)",17290205223304802871512126522958/35205206000236487121614394262957
"(4, 8, 1)",128439585885/426756252062
"(4, 8, 2)",75/218
"(4, 8, 3)",12568384688085/34675064776757
"(4, 8, 4)",3/7
"(4, 8, 5)",1235629950472136738863/2626941360963688147249
"(4, 8, 6)",7118/15019
"(4, 8, 7)",1355220813024395787541905921/2856388343613233576872397036
"(4, 8, 8)",3/7
"(4, 8, 9)",17316201165068024939071717371553/35205206000236487121614394262957
"(4, 8, 10)",3529997/7036351
"(4, 9, 1)",42255760205609609/137671536538917246
"(4, 9, 2)",12130268114700/34675064776757
"(4, 9, 3)",1964277723776410836308/5419201597936350337715
"(4, 9, 4)",1171297501501639393001/2626941360963688147249
"(4, 9, 5)",1314098484097014146189074599/2737547722959924224019085871
"(4, 9, 6)",98294768718228193809139625/204027738829516684062314074
"(4, 9, 7)",251951921381823376261127844984357967225/521652986527817805010154950264773635898
"(4, 9, 8)",17316201165068024939071717371553/35205206000236487121614394262957
"(4, 9, 9)",706891522897584344440393661795683489507376002/1613538037425217191548094639872658687481166047
"(4, 9, 10)",418202587662617984352376531883619045105425/841378396989014329338696191526038296356642
"(4, 10, 1)",10791231472757/34675064776757
"(4, 10, 2)",38368/107555
"(4, 10, 3)",988352868363177899509/2626941360963688147249
"(4, 10, 4)",6727/15019
"(4, 10, 5)",1066609397425461720748840283/2142291257709925182654297777
"(4, 10, 6)",3388439/6955854
"(4, 10, 7)",17290205223304802871512126522958/35205206000236487121614394262957
"(4, 10, 8)",3529997/7036351
"(4, 10, 9)",418202587662617984352376531883619045105425/841378396989014329338696191526038296356642
"(4, 10, 10)",346875260413/783804559643
"(5, 1, 1)",23/654
"(5, 1, 2)",1343/15365
"(5, 1, 3)",10415/90114
"(5, 1, 4)",3838312/24345489
"(5, 1, 5)",3514235/14072702
"(5, 1, 6)",629776186504/2351413678929
"(5, 1, 7)",703345416785/2560537512372
"(5, 1, 8)",12967257247540501/45890512179639082
"(5, 1, 9)",10046231718213/34675064776757
"(5, 1, 10)",28650015165326556136943/97545628762854306078870
"(5, 2, 1)",1343/15365
"(5, 2, 2)",1565/15019
"(5, 2, 3)",1173287/6955854
"(5, 2, 4)",1334943/7036351
"(5, 2, 5)",218464649615/783804559643
"(5, 2, 6)",121043592577/426756252062
"(5, 2, 7)",21039294216998908/68835768269458623
"(5, 2, 8)",10981307839844/34675064776757
"(5, 2, 9)",31464708822612488678891/97545628762854306078870
"(5, 2, 10)",853154425844846640878/2626941360963688147249
"(5, 3, 1)",10415/90114
"(5, 3, 2)",1173287/6955854
"(5, 3, 3)",521939/3015579
"(5, 3, 4)",542421224035/2351413678929
"(5, 3, 5)",769145678263/2560537512372
"(5, 3, 6)",409007080045582/1349720946459973
"(5, 3, 7)",11200444036352/34675064776757
"(5, 3, 8)",3271305678083723847541/9754562876285430607887
"(5, 3, 9)",2685299410522836870038/7880824082891064441747
"(5, 3, 10)",1933393327022641468706723585/5475095445919848448038171742
"(5, 4, 1)",3838312/24345489
"(5, 4, 2)",1334943/7036351
"(5, 4, 3)",542421224035/2351413678929
"(5, 4, 4)",43625791543/213378126031
"(5, 4, 5)",14502412025283321/45890512179639082
"(5, 4, 6)",23131929945039/69350129553514
"(5, 4, 7)",5448740679617282041592/16257604793809051013145
"(5, 4, 8)",853039073881228083741/2626941360963688147249
"(5, 4, 9)",1923607570012852793527759051/5475095445919848448038171742
"(5, 4, 10)",520984939433009291115761617/1428194171806616788436198518
"(5, 5, 1)",3514235/14072702
"(5, 5, 2)",218464649615/783804559643
"(5, 5, 3)",769145678263/2560537512372
"(5, 5, 4)",14502412025283321/45890512179639082
"(5, 5, 5)",1/3
"(5, 5, 6)",6439823895667436007413/16257604793809051013145
"(5, 5, 7)",6385250974738526255173/15761648165782128883494
"(5, 5, 8)",161133975315887952682287184/391078246137132032002726553
"(5, 5, 9)",2680132187852156913607026524/6426873773129775547962893331
"(5, 5, 10)",3/7
"(5, 6, 1)",629776186504/2351413678929
